FLIR_ID_Year,FLIR_ID,site,date,year,time,survey_time,photo_type,determined_usage,water,air_temperature_c,humidity,microhabitat_type,distance_from_object_m,meter_marker,marker_number,direction,record_id,latitude.x,longitude.x,latitude.y,longitude.y,observer,FLIR_ID_Date,Notes
FLIR0617_2023,FLIR0617,Tuttle Pond,9/15/23,4518,23:14,Night,transect,no image,no image,16.8,83.5,NA,1.6,8,NA,West,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6387567,-80.49533,41.6387594,-80.4953366,Rachel Verdi,FLIR0617_2023-09,
FLIR0621_2023,FLIR0621,Tuttle Pond,9/15/23,4518,23:15,Night,transect,no image,no image,16.8,83.5,NA,1.42,6,NA,North,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6386983,-80.4954267,41.6387594,-80.4953366,Rachel Verdi,FLIR0621_2023-09,
FLIR0623_2023,FLIR0623,Tuttle Pond,9/15/23,4518,23:15,Night,transect,no image,no image,16.8,83.5,NA,1.39,6,NA,South,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6387044,-80.495364,41.6387594,-80.4953366,Rachel Verdi,FLIR0623_2023-09,
FLIR0625_2023,FLIR0625,Tuttle Pond,9/15/23,4518,23:15,Night,transect,no image,no image,16.8,83.5,NA,1.57,6,NA,East,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6386952,-80.4953284,41.6387594,-80.4953366,Rachel Verdi,FLIR0625_2023-09,
FLIR0627_2023,FLIR0627,Tuttle Pond,9/15/23,4518,23:16,Night,transect,no image,no image,16.8,83.5,NA,1.54,6,NA,West,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6386999,-80.4953134,41.6387594,-80.4953366,Rachel Verdi,FLIR0627_2023-09,
FLIR0629_2023,FLIR0629,Tuttle Pond,9/15/23,4518,23:17,Night,transect,no image,no image,16.8,83.5,NA,1.74,4,NA,North,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6387483,-80.4952917,41.6387594,-80.4953366,Rachel Verdi,FLIR0629_2023-09,
FLIR0631_2023,FLIR0631,Tuttle Pond,9/15/23,4518,23:19,Night,transect,no image,no image,16.8,83.5,NA,1.62,4,NA,South,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6386883,-80.4953883,41.6387594,-80.4953366,Rachel Verdi,FLIR0631_2023-09,
FLIR0633_2023,FLIR0633,Tuttle Pond,9/15/23,4518,23:19,Night,transect,no image,no image,16.8,83.5,NA,1.54,4,NA,East,e0318e58-d7d5-4222-bf60-5e299b16988d,41.638715,-80.4953833,41.6387594,-80.4953366,Rachel Verdi,FLIR0633_2023-09,
FLIR0635_2023,FLIR0635,Tuttle Pond,9/15/23,4518,23:19,Night,transect,no image,no image,16.8,83.5,NA,1.49,4,NA,West,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6387392,-80.4953909,41.6387594,-80.4953366,Rachel Verdi,FLIR0635_2023-09,
FLIR0637_2023,FLIR0637,Tuttle Pond,9/15/23,4518,23:20,Night,transect,no image,no image,16.8,83.5,NA,1.49,2,NA,North,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6386817,-80.495425,41.6387594,-80.4953366,Rachel Verdi,FLIR0637_2023-09,
FLIR0639_2023,FLIR0639,Tuttle Pond,9/15/23,4518,23:20,Night,transect,no image,no image,16.8,83.5,NA,1.56,2,NA,South,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6386817,-80.495425,41.6387594,-80.4953366,Rachel Verdi,FLIR0639_2023-09,
FLIR0641_2023,FLIR0641,Tuttle Pond,9/15/23,4518,23:21,Night,transect,no image,no image,16.8,83.5,NA,1.57,2,NA,East,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6387249,-80.4953186,41.6387594,-80.4953366,Rachel Verdi,FLIR0641_2023-09,
FLIR0643_2023,FLIR0643,Tuttle Pond,9/15/23,4518,23:21,Night,transect,no image,no image,16.8,83.5,NA,1.5,2,NA,West,e0318e58-d7d5-4222-bf60-5e299b16988d,41.638725,-80.4953183,41.6387594,-80.4953366,Rachel Verdi,FLIR0643_2023-09,
FLIR0645_2023,FLIR0645,Tuttle Pond,9/15/23,4518,23:21,Night,transect,no image,no image,16.8,83.5,NA,1.31,0,NA,North,e0318e58-d7d5-4222-bf60-5e299b16988d,41.638725,-80.4953183,41.6387594,-80.4953366,Rachel Verdi,FLIR0645_2023-09,
FLIR0649_2023,FLIR0649,Tuttle Pond,9/15/23,4518,23:22,Night,transect,no image,no image,16.8,83.5,NA,1.5,0,NA,South,e0318e58-d7d5-4222-bf60-5e299b16988d,41.6387633,-80.49535,41.6387594,-80.4953366,Rachel Verdi,FLIR0649_2023-09,
FLIR0651_2023,FLIR0651,Tuttle Pond,9/15/23,4518,23:22,Night,transect,no image,no image,16.8,83.5,NA,1.31,0,NA,East,e0318e58-d7d5-4222-bf60-5e299b16988d,41.638725,-80.495385,41.6387594,-80.4953366,Rachel Verdi,FLIR0651_2023-09,
FLIR0653_2023,FLIR0653,Tuttle Pond,9/15/23,4518,23:23,Night,transect,no image,no image,16.8,83.5,NA,1.51,0,NA,West,e0318e58-d7d5-4222-bf60-5e299b16988d,41.638725,-80.495385,41.6387594,-80.4953366,Rachel Verdi,FLIR0653_2023-09,
FLIR0669_2023,FLIR0669,RV Pond,9/16/23,4518,22:46,Night,transect,no image,no image,15.1,82.1,NA,1.38,10,NA,North,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69191305,-80.50113476,41.69193854,-80.50115827,Rachel Verdi,FLIR0669_2023-09,
FLIR0671_2023,FLIR0671,RV Pond,9/16/23,4518,22:50,Night,transect,no image,no image,15.1,82.1,NA,1.04,10,NA,South,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69186749,-80.50116391,41.69193854,-80.50115827,Rachel Verdi,FLIR0671_2023-09,
FLIR0673_2023,FLIR0673,RV Pond,9/16/23,4518,22:51,Night,transect,no image,no image,15.1,82.1,NA,1.49,10,NA,East,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69186765,-80.50113783,41.69193854,-80.50115827,Rachel Verdi,FLIR0673_2023-09,
FLIR0675_2023,FLIR0675,RV Pond,9/16/23,4518,22:51,Night,transect,no image,no image,15.1,82.1,NA,1.36,10,NA,West,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69189567,-80.50114288,41.69193854,-80.50115827,Rachel Verdi,FLIR0675_2023-09,
FLIR0679_2023,FLIR0679,RV Pond,9/16/23,4518,22:52,Night,transect,no image,no image,15.1,82.1,NA,1.46,8,NA,North,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69187275,-80.50112255,41.69193854,-80.50115827,Rachel Verdi,FLIR0679_2023-09,
FLIR0681_2023,FLIR0681,RV Pond,9/16/23,4518,22:52,Night,transect,no image,no image,15.1,82.1,NA,1.37,8,NA,South,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69184782,-80.50109475,41.69193854,-80.50115827,Rachel Verdi,FLIR0681_2023-09,
FLIR0683_2023,FLIR0683,RV Pond,9/16/23,4518,22:53,Night,transect,no image,no image,15.1,82.1,NA,1.37,8,NA,East,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69184161,-80.50108714,41.69193854,-80.50115827,Rachel Verdi,FLIR0683_2023-09,
FLIR0685_2023,FLIR0685,RV Pond,9/16/23,4518,22:53,Night,transect,no image,no image,15.1,82.1,NA,1.42,8,NA,West,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69184883,-80.50112596,41.69193854,-80.50115827,Rachel Verdi,FLIR0685_2023-09,
FLIR0687_2023,FLIR0687,RV Pond,9/16/23,4518,22:54,Night,transect,no image,no image,15.1,82.1,NA,1.46,6,NA,North,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69183463,-80.50111201,41.69193854,-80.50115827,Rachel Verdi,FLIR0687_2023-09,
FLIR0691_2023,FLIR0691,RV Pond,9/16/23,4518,22:54,Night,transect,no image,no image,15.1,82.1,NA,1.28,6,NA,South,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69182472,-80.50112197,41.69193854,-80.50115827,Rachel Verdi,FLIR0691_2023-09,
FLIR0693_2023,FLIR0693,RV Pond,9/16/23,4518,22:55,Night,transect,no image,no image,15.1,82.1,NA,1.15,6,NA,East,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69181243,-80.50107779,41.69193854,-80.50115827,Rachel Verdi,FLIR0693_2023-09,
FLIR0697_2023,FLIR0697,RV Pond,9/16/23,4518,22:55,Night,transect,no image,no image,15.1,82.1,NA,1.5,6,NA,West,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69182955,-80.50110976,41.69193854,-80.50115827,Rachel Verdi,FLIR0697_2023-09,
FLIR0699_2023,FLIR0699,RV Pond,9/16/23,4518,22:56,Night,transect,no image,no image,15.1,82.1,NA,1.29,4,NA,North,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69182722,-80.50109309,41.69193854,-80.50115827,Rachel Verdi,FLIR0699_2023-09,
FLIR0701_2023,FLIR0701,RV Pond,9/16/23,4518,22:57,Night,transect,no image,no image,15.1,82.1,NA,1.19,4,NA,South,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69182208,-80.50111424,41.69193854,-80.50115827,Rachel Verdi,FLIR0701_2023-09,
FLIR0705_2023,FLIR0705,RV Pond,9/16/23,4518,22:58,Night,transect,no image,no image,15.1,82.1,NA,1.07,4,NA,East,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69182464,-80.50109912,41.69193854,-80.50115827,Rachel Verdi,FLIR0705_2023-09,
FLIR0707_2023,FLIR0707,RV Pond,9/16/23,4518,22:58,Night,transect,no image,no image,15.1,82.1,NA,1.43,4,NA,West,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69183559,-80.50110286,41.69193854,-80.50115827,Rachel Verdi,FLIR0707_2023-09,
FLIR0715_2023,FLIR0715,RV Pond,9/16/23,4518,23:00,Night,transect,no image,no image,15.1,82.1,NA,1.22,2,NA,North,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69183961,-80.50110529,41.69193854,-80.50115827,Rachel Verdi,FLIR0715_2023-09,
FLIR0719_2023,FLIR0719,RV Pond,9/16/23,4518,23:01,Night,transect,no image,no image,15.1,82.1,NA,1.33,2,NA,South,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69185044,-80.50109253,41.69193854,-80.50115827,Rachel Verdi,FLIR0719_2023-09,
FLIR0721_2023,FLIR0721,RV Pond,9/16/23,4518,23:02,Night,transect,no image,no image,15.1,82.1,NA,1.14,2,NA,East,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69184862,-80.50106629,41.69193854,-80.50115827,Rachel Verdi,FLIR0721_2023-09,
FLIR0723_2023,FLIR0723,RV Pond,9/16/23,4518,23:02,Night,transect,no image,no image,15.1,82.1,NA,1.04,2,NA,West,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69185123,-80.50110374,41.69193854,-80.50115827,Rachel Verdi,FLIR0723_2023-09,
FLIR0725_2023,FLIR0725,RV Pond,9/16/23,4518,23:03,Night,transect,no image,no image,15.1,82.1,NA,1.27,0,NA,North,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69184184,-80.50109969,41.69193854,-80.50115827,Rachel Verdi,FLIR0725_2023-09,
FLIR0727_2023,FLIR0727,RV Pond,9/16/23,4518,23:04,Night,transect,no image,no image,15.1,82.1,NA,1.55,0,NA,South,8a3d1c57-f1a1-4c31-847f-a511273fb46a,41.69182581,-80.50108624,41.69193854,-80.50115827,Rachel Verdi,FLIR0727_2023-09,
